subject,strategy,condition,l_length,pres_rate,ncr,tr_1,tr_2,tr_3,tr_4,tr_5,tr_6,tr_7,tr_8,tr_9,tr_10,tr_11,tr_12,tr_13,tr_14,tr_15,tr_16,tr_17,tr_18,tr_19,tr_20,tr_21,tr_22,tr_23,tr_24,tr_25,tr_26,tr_27
A20GD3EBBTBYY2,rec,10-2,10.0,2000.0,3,4908.0,,,,,,,,,,,,,,,,,,,,,,,,,,
A20GD3EBBTBYY2,rec,10-2,10.0,2000.0,4,4096.0,,3995.0,,,,,,,,,,,,,,,,,,,,,,,,
A20GD3EBBTBYY2,rec,10-2,10.0,2000.0,5,5007.11111111111,5983.25,5230.75,4683.208333333333,,,,,,,,,,,,,,,,,,,,,,,
A20GD3EBBTBYY2,rec,10-2,10.0,2000.0,6,5066.9,4595.654166666667,6335.194444444444,4730.816666666667,4664.822222222222,,,,,,,,,,,,,,,,,,,,,,
A20GD3EBBTBYY2,rec,10-2,10.0,2000.0,7,4426.333333333334,6236.770833333333,4934.75,5159.0,6293.375,6009.88888888889,,,,,,,,,,,,,,,,,,,,,
A20GD3EBBTBYY2,rec,10-2,10.0,2000.0,8,3607.3333333333335,5029.5,4497.333333333333,4995.666666666667,4506.0,5652.0,8101.333333333333,,,,,,,,,,,,,,,,,,,,
A24BRTWG07T53Z,prim,10-2,10.0,2000.0,2,4537.0,,,,,,,,,,,,,,,,,,,,,,,,,,
A24BRTWG07T53Z,prim,10-2,10.0,2000.0,3,3623.25,2979.0,,,,,,,,,,,,,,,,,,,,,,,,,
A24BRTWG07T53Z,prim,10-2,10.0,2000.0,4,3056.3125,4692.916666666667,3988.0,,,,,,,,,,,,,,,,,,,,,,,,
A24BRTWG07T53Z,prim,10-2,10.0,2000.0,5,4155.854166666666,3544.958333333333,2821.0625,3525.9375,,,,,,,,,,,,,,,,,,,,,,,
A24BRTWG07T53Z,prim,10-2,10.0,2000.0,6,2912.7083333333335,4160.958333333333,4004.875,4106.958333333333,3401.125,,,,,,,,,,,,,,,,,,,,,,
A24BRTWG07T53Z,prim,10-2,10.0,2000.0,7,3052.5,2152.5,2778.8333333333335,2756.6666666666665,2478.6666666666665,2977.5,,,,,,,,,,,,,,,,,,,,,
A27QXQ22F9ODSP,prim,10-2,10.0,2000.0,2,4774.5,,,,,,,,,,,,,,,,,,,,,,,,,,
A27QXQ22F9ODSP,prim,10-2,10.0,2000.0,4,4638.0,3141.5,4544.0,,,,,,,,,,,,,,,,,,,,,,,,
A27QXQ22F9ODSP,prim,10-2,10.0,2000.0,5,4215.0,8045.472222222223,6281.166666666667,6283.777777777778,,,,,,,,,,,,,,,,,,,,,,,
A27QXQ22F9ODSP,prim,10-2,10.0,2000.0,6,4827.666666666667,5729.875,8008.5,5516.25,8020.375,,,,,,,,,,,,,,,,,,,,,,
