subject,strategy,condition,l_length,pres_rate,intrusion,sp_1,sp_2,sp_3,sp_4,sp_5,sp_6,sp_7,sp_8,sp_9,sp_10,sp_11,sp_12,sp_13,sp_14,sp_15,sp_16,sp_17,sp_18,sp_19,sp_20,sp_21,sp_22,sp_23,sp_24,sp_25,sp_26,sp_27,sp_28,sp_29,sp_30,sp_31,sp_32,sp_33,sp_34,sp_35,sp_36,sp_37,sp_38,sp_39,sp_40
A157L6Z8QU3SDE,rec,20-1,20.0,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A16GIPTDMJAFTK,ns,20-1,20.0,1000.0,0.125,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.20833333333333331,0.08333333333333333,0.20833333333333331,0.0,,,,,,,,,,,,,,,,,,,,
A17R7WX5B0CKK6,rec,20-1,20.0,1000.0,0.1875,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.14583333333333331,0.2708333333333333,0.1875,,,,,,,,,,,,,,,,,,,,
A17WB66BXX4R0J,prim,20-1,20.0,1000.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
A19QRXLWV5GKXN,rec,20-1,20.0,1000.0,0.375,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
A1CKIYN01NV9GJ,ns,20-1,20.0,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1HLDOM6JTYYI2,prim,20-1,20.0,1000.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
A1HR8IRDC07FO9,prim,20-1,20.0,1000.0,0.175,0.0,0.1,0.16666666666666666,0.05,0.125,0.0,0.05,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.20833333333333331,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
A1J6CZ176U6GDT,rec,20-1,20.0,1000.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.175,0.0,0.525,0.0,,,,,,,,,,,,,,,,,,,,
A1J9VZ372FV2QZ,rec,20-1,20.0,1000.0,0.05,0.08333333333333333,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.25,0.0,0.08333333333333333,0.0,0.05,0.13333333333333333,0.125,,,,,,,,,,,,,,,,,,,,
A1JI19KPIVNL3Y,ns,20-1,20.0,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1KH9VI2D0V43B,prim,20-1,20.0,1000.0,0.08333333333333333,0.0,0.19166666666666665,0.30833333333333335,0.125,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,,,,,,,,,,,,,,,,,,,,
A1LJ4WAEDGELVL,rec,20-1,20.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,
A1OOCYEFLAJD98,ns,20-1,20.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
A1OW27AZS122X2,ns,20-1,20.0,1000.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,,,,,,,,,,,,,,,,,,,,
A1R5JNC2LO6X1S,prim,20-1,20.0,1000.0,0.08333333333333333,0.0,0.7083333333333334,0.16666666666666666,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
A1SUTNVLSFPXFK,ns,20-1,20.0,1000.0,0.18333333333333335,0.0,0.125,0.20833333333333331,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.26666666666666666,0.0,,,,,,,,,,,,,,,,,,,,
A1V91Z2CQKMR55,rec,20-1,20.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,,,,,,,,,,,,,,,,,,,,
A1YFL5HXPZ7MVV,ns,20-1,20.0,1000.0,0.20833333333333331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.08333333333333333,0.0,0.3333333333333333,0.25,,,,,,,,,,,,,,,,,,,,
A22UMPYYQBXT0F,rec,20-1,20.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
A26M997VYVK0E6,prim,20-1,20.0,1000.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
A277V4SHQB8JRS,rec,20-1,20.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,
A2E5PV1BHNG67N,ns,20-1,20.0,1000.0,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.25,,,,,,,,,,,,,,,,,,,,
A2FQVRBXJZQAWT,prim,20-1,20.0,1000.0,0.41666666666666663,0.0,0.41666666666666663,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
A2GM1ZIBRBHBK7,ns,20-1,20.0,1000.0,0.08333333333333333,0.0,0.08333333333333333,0.125,0.08333333333333333,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,,,,,,,,,,,,,,,,,,,,
A2ONILC0LZKG6Y,rec,20-1,20.0,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A2QX1SJXQN1NV1,prim,20-1,20.0,1000.0,0.375,0.0,0.0,0.125,0.125,0.125,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
A2QY653X9531JP,ns,20-1,20.0,1000.0,0.22916666666666666,0.0625,0.14583333333333331,0.0,0.0,0.125,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.125,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
A2RBF3IIJP15IH,rec,20-1,20.0,1000.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
A2RWLFIP23FZA7,prim,20-1,20.0,1000.0,0.0,0.0,0.125,0.625,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,,,,,,,,,,,,,,,,,,,,
A2SBZCFAVT83GN,rec,20-1,20.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
A2SQGKP2REXOTN,prim,20-1,20.0,1000.0,0.0,0.0,0.1111111111111111,0.4444444444444444,0.1111111111111111,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
A2SQTRNQWDLU4F,ns,20-1,20.0,1000.0,0.25,0.0,0.5,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
A2SWQM5X54P1O5,ns,20-1,20.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
A2TG5ESEOPXAHI,prim,20-1,20.0,1000.0,0.19166666666666668,0.05,0.6083333333333334,0.05,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
